location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
China,2,False,East Asia,Uzbekistan,Muslim,Jamshid,Male,China,Non-religious,Mei,Female,India,Hindu,Arjun,Male,Cuba,Christian,Rosa,Female
Cuba,4,True,South Asia,Uzbekistan,Muslim,Amina,Female,China,Non-religious,Lin,Male,Cuba,Christian,Carlos,Male,Nepal,Hindu,Maya,Female
Uzbekistan,2,True,East Asia,Cuba,Christian,Alejandro,Male,China,Non-religious,Lian,Female,Uzbekistan,Muslim,Rashid,Male,Thailand,Budhist,Anong,Female
Cuba,3,True,East Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Mei,Female,Uzbekistan,Muslim,Amina,Female
Japan,2,True,South Asia,Japan,Shintoist,Haruto,Male,India,Hindu,Anaya,Female,Cuba,Christian,Miguel,Male,Uzbekistan,Muslim,Layla,Female
Japan,4,True,Central Asia,Cuba,Christian,Luis,Male,Japan,Shintoist,Yuki,Female,Nepal,Hindu,Pema,Male,Uzbekistan,Muslim,Amina,Female
Uzbekistan,2,False,Central Asia,Cuba,Christian,Javier,Male,Uzbekistan,Muslim,Aida,Female,Thailand,Budhist,Suri,Female,Japan,Shintoist,Kenzo,Male
Japan,2,True,Caribbean,Vietnam,Budhist,Minh,Male,Cuba,Christian,Maria,Female,Uzbekistan,Muslim,Timur,Male,Japan,Shintoist,Haruka,Female
Thailand,3,True,Caribbean,Uzbekistan,Muslim,Amir,Male,Thailand,Budhist,Suri,Female,Cuba,Christian,Elena,Female,India,Hindu,Ravi,Male
Uzbekistan,3,True,Southeast Asia,India,Hindu,Arjun,Male,Cuba,Christian,Elena,Female,Vietnam,Budhist,Minh,Male,Uzbekistan,Muslim,Amina,Female
Cuba,4,False,Caribbean,Thailand,Budhist,Somchai,Male,Nepal,Hindu,Sita,Female,Uzbekistan,Muslim,Akmal,Male,Cuba,Christian,Maria,Female
Vietnam,4,True,Caribbean,Nepal,Hindu,Arjun,Male,Vietnam,Budhist,Linh,Female,Uzbekistan,Muslim,Rashid,Male,Cuba,Christian,Maria,Female
India,4,True,East Asia,India,Hindu,Aarav,Male,Iran,Muslim,Leyla,Female,Cuba,Christian,Diego,Male,China,Non-religious,Mei,Female
Iran,4,True,South Asia,Iran,Muslim,Amir,Male,China,Non-religious,Lin,Female,Cuba,Christian,Maria,Female,Nepal,Hindu,Ramesh,Male
Cuba,2,True,East Asia,Cuba,Christian,Alejandro,Male,China,Non-religious,Mei,Female,Iran,Muslim,Reza,Male,Thailand,Budhist,Arisa,Female
