location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
China,2,False,East Asia,Uzbekistan,Muslim,Amina,Female,China,Non-religious,Wei,Male,India,Hindu,Raj,Male,Cuba,Christian,Lucia,Female
Cuba,4,True,South Asia,Uzbekistan,Muslim,Asad,Male,China,Non-religious,Ling,Female,Cuba,Christian,Rosa,Female,Nepal,Hindu,Rajan,Male
Uzbekistan,3,False,Central Asia,Cuba,Christian,Alejandro,Male,China,Non-religious,Li,Female,Uzbekistan,Muslim,Jamshid,Male,Thailand,Budhist,Niran,Female
Cuba,4,True,Central Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Mateo,Male,China,Non-religious,Jian,Male,Uzbekistan,Muslim,Amina,Female
Japan,2,True,South Asia,Japan,Shintoist,Haruka,Female,India,Hindu,Raj,Male,Cuba,Christian,Carmen,Female,Uzbekistan,Muslim,Aslan,Male
Japan,3,True,South Asia,Cuba,Christian,Miguel,Male,Japan,Shintoist,Aiko,Female,Nepal,Hindu,Priya,Female,Uzbekistan,Muslim,Malik,Male
Uzbekistan,4,True,East Asia,Cuba,Christian,Miguel,Male,Uzbekistan,Muslim,Amina,Female,Thailand,Budhist,Chaiya,Female,Japan,Shintoist,Kenji,Male
Japan,4,False,East Asia,Vietnam,Budhist,Minh,Female,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Amina,Female,Japan,Shintoist,Hiroshi,Male
Thailand,2,False,Southeast Asia,Uzbekistan,Muslim,Amina,Female,Thailand,Budhist,Suriya,Male,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Uzbekistan,4,False,Central Asia,India,Hindu,Arjun,Male,Cuba,Christian,Maria,Female,Vietnam,Budhist,Linh,Female,Uzbekistan,Muslim,Kemal,Male
Cuba,4,False,Caribbean,Thailand,Budhist,Niran,Male,Nepal,Hindu,Sita,Female,Uzbekistan,Muslim,Amir,Male,Cuba,Christian,Camila,Female
Vietnam,4,True,Caribbean,Nepal,Hindu,Ramesh,Male,Vietnam,Budhist,Linh,Female,Uzbekistan,Muslim,Jamshid,Male,Cuba,Christian,Marina,Female
India,4,True,East Asia,India,Hindu,Aarti,Female,Iran,Muslim,Reza,Male,Cuba,Christian,Javier,Male,China,Non-religious,Mei,Female
Iran,2,True,East Asia,Iran,Muslim,Amir,Male,China,Non-religious,Li,Female,Cuba,Christian,Sofia,Female,Nepal,Hindu,Arjun,Male
Cuba,4,True,Southeast Asia,Cuba,Christian,Alejandro,Male,China,Non-religious,Mei,Female,Iran,Muslim,Farhad,Male,Thailand,Budhist,Apsara,Female
Cuba,3,True,Middle East,Cuba,Christian,Emil,Male,China,Non-religious,Lian,Female,Iran,Muslim,Farah,Female,Vietnam,Budhist,Bao,Male
India,4,False,South Asia,Iraq,Muslim,Amir,Male,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Cuba,3,True,East Asia,Nepal,Hindu,Arjun,Male,Cuba,Christian,Lucia,Female,China,Non-religious,Ming,Female,Iraq,Muslim,Sabah,Male
China,4,False,East Asia,Cuba,Christian,Alejandro,Male,Thailand,Budhist,Suriya,Female,Iraq,Muslim,Amina,Female,China,Non-religious,Chen,Male
China,4,False,East Asia,Cuba,Christian,Diego,Male,Vietnam,Budhist,Linh,Female,Iraq,Muslim,Zayd,Male,China,Non-religious,Mei,Female
India,2,True,Caribbean,India,Hindu,Aarti,Female,Cuba,Christian,Diego,Male,Turkey,Muslim,Leyla,Female,China,Non-religious,Ming,Male
China,4,True,Middle East,Nepal,Hindu,Arjun,Male,China,Non-religious,Li,Female,Cuba,Christian,Rosa,Female,Turkey,Muslim,Mehmet,Male
Turkey,4,True,East Asia,Turkey,Muslim,Selim,Male,Thailand,Budhist,Kanya,Female,Cuba,Christian,Diego,Male,China,Non-religious,Mei,Female
Turkey,4,True,East Asia,Vietnam,Budhist,Linh,Female,Turkey,Muslim,Mehmet,Male,Cuba,Christian,Carmen,Female,China,Non-religious,Jian,Male
Algeria,4,False,North Africa,India,Hindu,Anika,Female,China,Non-religious,Wei,Female,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amine,Male
Nepal,2,False,South Asia,China,Non-religious,Li,Male,Nepal,Hindu,Anjali,Female,Cuba,Christian,Diego,Male,Algeria,Muslim,Amina,Female
