location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
China,3,True,South Asia,Uzbekistan,Muslim,Aziz,Male,China,Non-religious,Li,Female,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male
Cuba,4,True,South Asia,Uzbekistan,Muslim,Rashid,Male,China,Non-religious,Lin,Female,Cuba,Christian,Miguel,Male,Nepal,Hindu,Karma,Female
Uzbekistan,3,False,Central Asia,Cuba,Christian,Rafael,Male,China,Non-religious,Mei,Female,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Somchai,Male
Cuba,3,True,East Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Wei,Male,Uzbekistan,Muslim,Aziz,Male
Japan,4,True,Central Asia,Japan,Shintoist,Keiko,Female,India,Hindu,Raj,Male,Cuba,Christian,Maria,Female,Uzbekistan,Muslim,Azim,Male
Japan,2,False,East Asia,Cuba,Christian,Carlos,Male,Japan,Shintoist,Keiko,Female,Nepal,Hindu,Rajesh,Male,Uzbekistan,Muslim,Aziz,Male
Uzbekistan,3,True,Southeast Asia,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Akmal,Male,Thailand,Budhist,Somchai,Male,Japan,Shintoist,Hiro,Male
Japan,2,True,Caribbean,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Akmal,Male,Japan,Shintoist,Hiroshi,Male
Thailand,3,True,Caribbean,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Somchai,Male,Cuba,Christian,Maria,Female,India,Hindu,Rahul,Male
Uzbekistan,3,True,Southeast Asia,India,Hindu,Arjun,Male,Cuba,Christian,Elena,Female,Vietnam,Budhist,Minh,Male,Uzbekistan,Muslim,Rashid,Male
Cuba,3,True,Central Asia,Thailand,Budhist,Sirin,Female,Nepal,Hindu,Arun,Male,Uzbekistan,Muslim,Rashid,Male,Cuba,Christian,Carlos,Male
Vietnam,2,False,Southeast Asia,Nepal,Hindu,Arjun,Male,Vietnam,Budhist,Linh,Female,Uzbekistan,Muslim,Malik,Male,Cuba,Christian,Sofia,Female
India,4,True,East Asia,India,Hindu,Rajesh,Male,Iran,Muslim,Farzan,Female,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Male
Iran,2,True,East Asia,Iran,Muslim,Reza,Male,China,Non-religious,Wei,Female,Cuba,Christian,Miguel,Male,Nepal,Hindu,Prakash,Male
Cuba,2,True,East Asia,Cuba,Christian,Carlos,Male,China,Non-religious,Wei,Female,Iran,Muslim,Reza,Male,Thailand,Budhist,Suri,Female
Cuba,2,True,East Asia,Cuba,Christian,Elena,Female,China,Non-religious,Li,Male,Iran,Muslim,Reza,Male,Vietnam,Budhist,Minh,Female
India,2,True,East Asia,Iraq,Muslim,Faisal,Male,China,Non-religious,Li,Female,Cuba,Christian,Carlos,Male,India,Hindu,Rajesh,Male
Cuba,3,True,East Asia,Nepal,Hindu,Arjun,Male,Cuba,Christian,Maria,Female,China,Non-religious,Li,Male,Iraq,Muslim,Khalid,Male
China,3,True,Middle East,Cuba,Christian,Carlos,Male,Thailand,Budhist,Suri,Female,Iraq,Muslim,Tariq,Male,China,Non-religious,Li,Female
