location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
China,3,True,South Asia,Uzbekistan,Muslim,Aziz,Male,China,Non-religious,Li,Female,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male
Cuba,2,True,East Asia,Uzbekistan,Muslim,Amir,Male,China,Non-religious,Li,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Raj,Male
Uzbekistan,2,True,East Asia,Cuba,Christian,Carlos,Male,China,Non-religious,Wei,Female,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Siri,Female
Cuba,2,False,Caribbean,Vietnam,Budhist,Minh,Male,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Male,Uzbekistan,Muslim,Rashid,Male
Japan,2,True,South Asia,Japan,Shintoist,Kenji,Male,India,Hindu,Priya,Female,Cuba,Christian,Miguel,Male,Uzbekistan,Muslim,Azim,Male
Japan,2,False,East Asia,Cuba,Christian,Carlos,Male,Japan,Shintoist,Hiro,Male,Nepal,Hindu,Ravi,Male,Uzbekistan,Muslim,Aziz,Male
Uzbekistan,3,True,Southeast Asia,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Suri,Female,Japan,Shintoist,Keiko,Female
Japan,2,True,Caribbean,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Aziz,Male,Japan,Shintoist,Keiko,Female
Thailand,4,True,South Asia,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Somchai,Male,Cuba,Christian,Maria,Female,India,Hindu,Raj,Male
Uzbekistan,3,True,Southeast Asia,India,Hindu,Rajesh,Male,Cuba,Christian,Elena,Female,Vietnam,Budhist,Mai,Female,Uzbekistan,Muslim,Akbar,Male
Cuba,4,False,Caribbean,Thailand,Budhist,Suri,Female,Nepal,Hindu,Rajan,Male,Uzbekistan,Muslim,Aziz,Male,Cuba,Christian,Elena,Female
Vietnam,3,True,Central Asia,Nepal,Hindu,Ravi,Male,Vietnam,Budhist,Linh,Female,Uzbekistan,Muslim,Aziz,Male,Cuba,Christian,Elena,Female
India,3,True,Caribbean,India,Hindu,Vikram,Male,Iran,Muslim,Reza,Female,Cuba,Christian,Maria,Female,China,Non-religious,Lin,Male
Iran,2,True,East Asia,Iran,Muslim,Reza,Male,China,Non-religious,Li,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Arjun,Male
Cuba,2,True,East Asia,Cuba,Christian,Rafael,Male,China,Non-religious,Lin,Female,Iran,Muslim,Amir,Male,Thailand,Budhist,Suda,Female
Cuba,2,True,East Asia,Cuba,Christian,Raul,Male,China,Non-religious,Wei,Female,Iran,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female
India,2,True,East Asia,Iraq,Muslim,Karim,Male,China,Non-religious,Li,Female,Cuba,Christian,Miguel,Male,India,Hindu,Rahul,Male
Cuba,3,True,East Asia,Nepal,Hindu,Arjun,Male,Cuba,Christian,Maria,Female,China,Non-religious,Mei,Female,Iraq,Muslim,Karim,Male
China,4,False,East Asia,Cuba,Christian,Maria,Female,Thailand,Budhist,Somporn,Female,Iraq,Muslim,Karim,Male,China,Non-religious,Li,Female
China,2,True,Southeast Asia,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Linh,Female,Iraq,Muslim,Tariq,Male,China,Non-religious,Ming,Female
India,4,True,East Asia,India,Hindu,Arjun,Male,Cuba,Christian,Sofia,Female,Turkey,Muslim,Kemal,Male,China,Non-religious,Li,Female
China,2,False,East Asia,Nepal,Hindu,Raj,Male,China,Non-religious,Li,Female,Cuba,Christian,Maria,Female,Turkey,Muslim,Kemal,Male
Turkey,2,True,Southeast Asia,Turkey,Muslim,Ahmet,Male,Thailand,Budhist,Suri,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Wei,Female
Turkey,3,True,Caribbean,Vietnam,Budhist,Linh,Female,Turkey,Muslim,Kemal,Male,Cuba,Christian,Maria,Female,China,Non-religious,Wei,Male
Algeria,3,True,Caribbean,India,Hindu,Arjun,Male,China,Non-religious,Wei,Female,Cuba,Christian,Maria,Female,Algeria,Muslim,Karim,Male
Nepal,3,True,Caribbean,China,Non-religious,Wei,Male,Nepal,Hindu,Rajesh,Male,Cuba,Christian,Elena,Female,Algeria,Muslim,Karim,Male
Algeria,3,True,East Asia,Cuba,Christian,Rafael,Male,Algeria,Muslim,Karim,Male,China,Non-religious,Mei,Female,Thailand,Budhist,Sombat,Male
Algeria,3,True,East Asia,Algeria,Muslim,Amir,Male,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Male,Vietnam,Budhist,Minh,Female
Egypt,4,True,East Asia,Cuba,Christian,Miguel,Male,Egypt,Muslim,Amir,Male,India,Hindu,Priya,Female,China,Non-religious,Li,Male
Nepal,2,True,Caribbean,Nepal,Hindu,Ravi,Male,Cuba,Christian,Elena,Female,Egypt,Muslim,Hassan,Male,China,Non-religious,Li,Female
Cuba,4,True,North Africa,China,Non-religious,Mei,Female,Thailand,Budhist,Suri,Female,Cuba,Christian,Carlos,Male,Egypt,Muslim,Amir,Male
Cuba,3,True,Southeast Asia,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Tran,Male,Egypt,Muslim,Amir,Male
India,4,True,East Asia,India,Hindu,Arun,Male,Sudan,Muslim,Zara,Female,Cuba,Christian,Miguel,Male,China,Non-religious,Li,Female
China,2,False,East Asia,Cuba,Christian,Carlos,Male,China,Non-religious,Mei,Female,Nepal,Hindu,Arjun,Male,Sudan,Muslim,Omar,Male
Thailand,1,True,East Asia,China,Non-religious,Mei,Female,Thailand,Budhist,Somchai,Male,Cuba,Christian,Carlos,Male,Sudan,Muslim,Hassan,Male
Cuba,2,False,Caribbean,China,Non-religious,Wei,Male,Cuba,Christian,Maria,Female,Vietnam,Budhist,Tran,Male,Sudan,Muslim,Omar,Male
Cuba,4,True,South Asia,China,Non-religious,Li,Male,Thailand,Budhist,Sopa,Female,Cuba,Christian,Miguel,Male,Bangladesh,Muslim,Rashid,Male
Vietnam,3,True,East Asia,Bangladesh,Muslim,Rafi,Male,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Male,Vietnam,Budhist,Minh,Female
China,3,True,South Asia,China,Non-religious,Wei,Male,Cuba,Christian,Miguel,Male,India,Hindu,Priya,Female,Thailand,Budhist,Somchai,Male
